7094, 22, -57, -24, 1.39, 0.09, 0.14, 28161, -12544, -9986, 2055
16302, 29784, -30785, 15316, 0.51, 0.01, 1.24, -31999, -24832, -8962, 2087
18589, 5632, -4291, 658, 0.98, -0.09, 0.26, -22783, 27904, -2562, 2123
17872, -37, 19, -44, 1.08, -0.04, 0.08, -17407, 22272, 255, 2157
17844, -840, 337, -166, 0.98, -0.06, 0.16, -17663, 21248, 767, 2189
17982, -1296, 195, -197, 1.00, -0.01, 0.05, -17663, 21760, -514, 2222
17916, -1310, 301, -165, 1.08, -0.03, 0.05, -17407, 20224, -1026, 2255
17925, -1256, 258, -180, 1.04, -0.02, 0.02, -17151, 18944, -1282, 2289
17422, -1364, 237, -206, 0.96, -0.04, 0.14, -17407, 18176, -1794, 2323
17796, -1007, -55, -172, 0.97, -0.04, 0.13, -17663, 16896, -3074, 2357
17412, -1130, 166, -164, 0.97, -0.04, 0.13, -17663, 15872, -2306, 2391
17532, -1266, -77, -151, 0.97, -0.02, 0.10, -17151, 14848, -3842, 2425
18154, -1058, 171, -130, 0.99, -0.05, 0.11, -16383, 13312, -4354, 2460
17335, -865, -69, -153, 1.00, -0.01, 0.04, -17663, 13568, -3842, 2494
17249, -1355, 263, -204, 0.98, -0.05, 0.15, -16639, 11520, -4866, 2527
16911, -1114, 237, -205, 1.07, -0.02, 0.03, -17663, 11264, -5634, 2561
17268, -933, 297, -142, 0.96, -0.05, 0.14, -16383, 9216, -5634, 2595
17188, -1850, 180, -247, 1.07, -0.01, 0.00, -17151, 9216, -5890, 2629
17302, -1229, 267, -194, 0.98, -0.06, 0.16, -15871, 7168, -6914, 2662
17109, -1162, 115, -185, 0.98, -0.02, 0.07, -16895, 6400, -6914, 2696
17436, -2087, 302, -251, 0.98, -0.06, 0.16, -15871, 5376, -6402, 2730
16880, -1236, 71, -207, 1.03, 0.00, 0.01, -16639, 5120, -6914, 2763
17064, -1383, 246, -188, 1.01, -0.05, 0.13, -18175, 2816, -7682, 2796
