43086, -56, -724, -95, -5375, 25599, 6912
40500, -21536, -18995, -3911, -9471, 13823, 14592
46078, -3367, -469, -440, -12799, 12031, 29440
46164, -88, -148, -90, -13567, 12287, 29184
46416, -171, 123, -30, -13567, 12031, 30976
45969, 101, 115, -22, -14079, 12031, 30720
46212, 82, 91, -47, -13311, 11775, 31488
46254, 77, 147, -19, -14335, 12287, 31232
46701, 90, 150, -30, -14335, 12287, 31232
46055, 77, 127, -20, -13055, 11519, 29696
46665, 84, 139, -56, -13311, 10751, 32256
46569, 88, 141, -31, -13567, 11519, 29440
46107, 97, 133, -40, -13055, 11775, 30464
46112, 73, 146, -35, -13567, 11775, 29440
46323, 85, 123, -38, -13823, 11519, 29696
46209, 99, -824, -62, -13311, 11775, 30976
46245, 32, 106, -54, -13311, 11775, 30976
45739, 111, 103, -67, -13311, 11775, 30976
46162, 104, 117, -65, -13055, 11519, 30208
46391, 85, 132, -54, -12799, 11007, 29184
46350, 104, 120, -52, -13055, 11263, 30464
46442, 74, 139, -29, -13823, 11519, 29184
46144, 67, 113, -43, -12799, 11775, 29440
46087, 89, 125, -27, -13567, 11519, 30208
46235, 106, 121, -66, -13055, 12287, 29952
46378, 85, 132, 4, -13055, 12287, 29952
46558, 94, 106, -47, -13055, 12287, 29952
46688, 96, 120, -42, -14079, 10751, 29696
46347, 42, 124, -30, -12799, 11007, 29696
46547, 99, 99, -69, -13311, 11263, 30208
45984, 53, 107, -35, -13823, 11775, 28928
46157, 63, 146, -25, -13567, 10751, 29696
46469, 105, 126, -23, -13567, 11263, 29440
46313, 100, 135, -13, -13567, 11263, 29440
46486, 62, 100, -45, -13567, 11263, 29440
46296, 70, 103, -47, -14591, 10751, 30976
46642, 117, 117, -56, -13567, 9983, 29696
46106, 83, 123, -65, -13567, 9215, 30720
46338, 70, 891, -63, -13055, 7423, 29952
46106, 75, 92, -35, -10239, 5887, 30464
46815, 76, 108, -82, -5119, 2559, 28928
46137, 91, 118, -53, -5119, 2559, 28928
46254, 88, 144, -37, 6146, 4351, 26112
46482, 100, 133, -42, 18946, 6911, 23040
1765, 63, 128, -55, 20738, 19967, 19968
46483, 75, 112, -21, 7426, 27391, 20480
46264, 108, 100, -59, -5887, 21503, 20224
46387, 80, 106, -14, -9471, 6911, 21248
46397, 85, 124, -19, -9471, 6911, 21248
46627, 74, 137, -36, -1791, -10754, 19968
46505, 104, 146, -16, 15106, -30722, 15616
46556, 79, 141, -41, 29698, 23294, 13824
46270, 76, 139, -71, -27134, 16382, 16128
46106, 90, 127, -42, -19454, 10238, 18176
45054, 90, 136, -24, -17150, 9982, 20224
45760, 94, 126, -28, -9982, 11262, 22016
45931, 78, 118, -70, -9982, 11262, 22016
45875, 85, 134, -59, -8958, 8958, 21504
45307, 98, 114, -60, -10238, 13054, 20480
45648, 91, 125, -35, -4862, 11006, 20992
44541, 84, 120, -45, 1539, 8190, 19968
44923, 66, 132, -25, 2051, 8190, 18176
12560, 103, 120, -8, 16899, 2046, 14848
36361, 111, 132, -76, 16899, 2046, 14848
10316, 72, 106, -2, -12797, -6915, 9728
6094, 84, 141, -26, -31228, 7422, -4865
5241, 82, 120, -49, -25339, -12290, 24575
7315, 112, 97, -42, 5126, 16640, -1026
6253, 70, 150, -17, -14076, 16641, 7423
5715, 124, 104, -58, -14076, 16641, 7423
5448, 95, 129, -34, -14076, 16641, 7423
6594, 104, 114, -33, 22786, 28160, -4353
5825, 95, 123, -39, -6655, -2305, 13312
6631, 120, 145, -16, -16895, -25857, 23040
5833, 80, 124, -51, -21247, 26367, 26624
46097, 76, 149, -41, -19455, 18175, 29184
44378, 93, 128, -26, -17407, 15103, 30464
5182, 127, 129, -67, -17407, 15103, 30464
5556, 62, 121, -10, -17407, 15103, 30464
6462, 85, 116, -63, -15615, 12287, 30464
5313, 81, 88, -45, -14591, 12287, 30208
32996, 81, 140, -36, -14335, 12287, 30720
46059, 76, 139, -247, -14591, 12543, 29696
46367, 66, 127, -59, -13823, 12031, 30208
