12571, 107, -1732, -17, 1.35, -0.02, 0.27
130, 19666, -27785, 10795, 1.21, 0.34, -0.11
33226, 12939, -27962, 2755, 0.41, -0.26, 1.00
33343, 114, -1319, 9, 1.01, -0.03, 0.06
33404, -22, 262, -27, 0.96, -0.03, 0.12
33573, -450, -23, -73, 0.99, -0.03, 0.07
12255, -548, 37, -76, 0.98, -0.06, 0.14
34705, -1164, 15, -154, 1.08, -0.02, 0.00
34884, -1459, -17, -164, 0.99, -0.06, 0.13
33704, -1108, 146, -152, 0.96, -0.05, 0.15
35508, -1034, 23, -161, 1.00, -0.05, 0.13
35932, -1006, 3, -145, 0.99, -0.02, 0.07
35811, -1429, 196, -217, 1.08, -0.03, 0.03
35956, -1368, 68, -182, 1.00, 0.00, 0.00
6606, -1655, 243, -207, 0.99, -0.04, 0.11
36973, -1167, 181, -159, 1.02, -0.04, 0.09
36260, -1003, 87, -157, 1.06, -0.04, 0.04
35901, -723, 183, -92, 1.00, -0.04, 0.10
36200, -1159, 160, -183, 1.01, -0.01, 0.03
36882, -1437, 153, -202, 1.00, -0.03, 0.08
37369, -1597, 200, -206, 1.00, -0.03, 0.06
36133, -1071, 158, -132, 1.04, -0.02, 0.02
35920, -646, 116, -100, 1.02, -0.02, 0.06
16649, -1020, 196, -191, 0.99, -0.06, 0.15
36926, -1697, 178, -223, 1.00, -0.02, 0.07
37731, -1407, 132, -231, 1.00, -0.04, 0.09
38039, -1141, 180, -134, 0.99, -0.06, 0.13
37614, -996, 148, -137, 0.99, -0.06, 0.14
38691, -1226, 136, -147, 1.00, -0.02, 0.06
36825, -1487, 166, -192, 1.00, -0.05, 0.12
40117, -1307, 167, -210, 1.05, -0.02, 0.03
40074, -763, 140, -107, 1.02, -0.01, 0.04
33203, -844, 189, -143, 0.98, -0.06, 0.17
38350, -1545, 164, -186, 1.00, -0.02, 0.06
38552, -1165, 111, -172, 1.00, -0.04, 0.10
36619, -1319, 153, -158, 0.98, -0.07, 0.19
37860, -593, -486, -96, 0.95, -0.02, 0.09
37582, -214, 85, -35, 1.01, -0.02, 0.06
11328, 67, 132, -24, 1.00, -0.02, 0.06
38316, 155, 154, -23, 1.01, -0.01, 0.03
38154, 76, 136, -29, 1.01, -0.01, 0.05
36746, 965, 113, 31, 1.00, -0.06, 0.15
37101, 1364, 121, 133, 1.02, -0.01, 0.04
38277, 1485, 97, 96, 1.01, -0.04, 0.09
38099, 1254, 112, 110, 1.02, 0.00, -0.01
40156, 1427, 110, 118, 0.99, -0.08, 0.18
39385, 1602, 91, 116, 1.02, 0.00, -0.00
38196, 1295, 122, 136, 1.02, -0.01, 0.04
38715, 1204, 90, 59, 1.01, -0.02, 0.06
37796, 1586, 150, 134, 1.00, -0.07, 0.16
37722, 2116, 117, 148, 0.99, -0.08, 0.19
37817, 1570, 119, 136, 1.02, -0.01, 0.02
38104, 958, 140, 153, 1.00, -0.04, 0.09
36281, 1306, 122, 101, 1.01, -0.02, 0.07
35279, 1285, 136, 66, 1.00, -0.06, 0.12
19904, 1088, 123, 58, 1.02, 0.02, -0.05
36897, 1317, 107, 141, 1.01, -0.03, 0.08
37433, 1060, 100, 76, 1.01, -0.05, 0.10
37373, 1333, 114, 112, 1.01, -0.03, 0.07
35621, 1162, 134, 131, 0.99, -0.07, 0.17
37251, 2052, 124, 190, 1.02, -0.00, 0.02
