39186, 1393, 143, 123, 1.00, -0.06, 0.12, -15359, 1791, 4864, 2379
38731, 2043, 115, 139, 1.01, -0.03, 0.09, -14847, 2559, 3328, 2346
56, 949, 115, 33, 1.01, -0.02, 0.05, -14079, 1535, 2816, 2314
102, 1213, 136, 73, 1.02, -0.01, 0.02, -15359, 1535, 1792, 2283
17401, 720, 143, 110, 1.01, -0.07, 0.15, -15871, 767, 1280, 2252
15159, 1347, 117, 131, 1.00, -0.06, 0.12, -15359, 1535, 0, 2221
25493, 1720, 123, 134, 1.02, 0.00, 0.02, -14847, 255, -1025, 2189
15800, 1114, 113, 75, 1.02, 0.02, -0.05, -15871, 1535, -2817, 2157
13470, 1535, 93, 116, 1.01, -0.03, 0.09, -15103, 511, -1793, 2125
12241, 1618, 124, 144, 0.99, -0.07, 0.14, -15103, 1535, -4865, 2093
13107, 1137, 134, 93, 1.00, -0.07, 0.15, -13823, 767, -5633, 2060
21075, 770, 133, 26, 1.02, -0.02, 0.02, -15103, 1279, -6913, 2028
29575, 1954, 137, 152, 0.99, -0.10, 0.22, -15871, 1279, -6913, 1996
31109, 1572, 144, 53, 1.02, -0.01, 0.03, -15615, 2303, -9217, 1963
34879, 1465, 131, 134, 1.02, -0.01, 0.02, -14591, 255, -9217, 1930
27225, 1077, 119, 81, 1.00, -0.07, 0.15, -16127, 2047, -11777, 1898
36167, 1157, 87, 119, 1.01, -0.06, 0.12, -15615, 1023, -11521, 1865
36171, 1155, 138, 144, 1.00, -0.06, 0.15, -14847, 1279, -13569, 1833
36422, 1612, 137, 118, 1.02, -0.01, 0.02, -15359, 1023, -14337, 1800
36306, 1464, 129, 98, 1.01, -0.05, 0.12, -15103, 2303, -15105, 1767
36083, 2204, 129, 197, 0.99, -0.10, 0.22, -15359, 2559, -17665, 1734
35649, 1456, 150, 82, 1.00, -0.08, 0.18, -15871, 767, -17153, 1700
34106, 1632, 127, 115, 1.01, -0.04, 0.10, -16127, 2559, -18689, 1668
36221, 2240, 88, 206, 1.02, -0.02, 0.05, -15103, 3071, -20225, 1636
36527, 999, 111, 84, 1.00, -0.09, 0.18, -15103, 3327, -22017, 1603
36496, 1578, 139, 121, 1.00, -0.05, 0.13, -15615, 3071, -22017, 1570
36719, 1957, 109, 127, 1.01, -0.03, 0.06, -16127, 3583, -23041, 1537
36906, 1581, 115, 113, 0.99, -0.08, 0.18, -15103, 3839, -24321, 1504
36585, 1196, 142, 77, 1.01, -0.01, 0.01, -15871, 3839, -25857, 1470
36404, 1620, 143, 128, 0.99, -0.10, 0.22, -16383, 3839, -25857, 1438
36793, 1282, 93, 85, 1.03, 0.01, -0.05, -16127, 4863, -27137, 1404
36404, 1809, 108, 60, 1.02, -0.02, 0.04, -16127, 5119, -28673, 1373
36371, 1261, 94, 98, 0.99, -0.08, 0.17, -16383, 5887, -29441, 1358
37076, 72, 133, -10, 1.01, -0.04, 0.08, -16383, 5631, -29953, 1391
36687, 90, 147, -48, 1.01, -0.03, 0.07, -15615, 5631, -29953, 1423
36731, -1669, 122, -182, 1.01, -0.02, 0.06, -16127, 5375, -29697, 1456
38063, -828, 142, -116, 1.01, -0.04, 0.07, -15359, 4863, -27905, 1490
35012, -803, 134, -171, 1.01, -0.03, 0.06, -15615, 5375, -26881, 1523
36312, -869, 122, -96, 1.00, -0.04, 0.10, -15359, 4095, -26369, 1557
36643, -1207, 133, -193, 1.01, -0.04, 0.08, -15615, 4351, -26625, 1590
36609, -1223, 150, -185, 1.01, -0.06, 0.12, -15871, 4607, -24833, 1624
3825, -752, 138, -156, 1.01, -0.01, 0.04, -15871, 3327, -24321, 1658
36614, -1421, 141, -183, 1.00, -0.03, 0.08, -15615, 2559, -22273, 1692
36174, -618, 139, -69, 1.01, -0.03, 0.06, -14847, 3583, -20993, 1726
36799, -1549, 150, -232, 1.01, -0.05, 0.12, -16895, 2815, -20737, 1759
34363, -1114, 106, -197, 1.01, -0.03, 0.05, -15615, 2559, -19713, 1793
36195, -1564, 131, -205, 1.01, -0.04, 0.07, -15359, 2047, -18433, 1826
35953, -1352, 143, -188, 1.01, -0.04, 0.07, -15103, 1279, -16897, 1860
36811, -990, 157, -117, 1.00, -0.07, 0.15, -15359, 2559, -16385, 1894
35896, -1444, 164, -147, 1.01, -0.05, 0.12, -14591, 1023, -15105, 1928
36432, -1209, 129, -183, 1.01, -0.03, 0.07, -15359, 1535, -13825, 1962
36228, -1142, 129, -134, 1.01, -0.03, 0.07, -15359, 1279, -12033, 1996
35392, -680, 123, -135, 1.02, -0.00, 0.01, -15359, 767, -12289, 2030
12722, -1298, 176, -206, 1.00, -0.05, 0.11, -15359, 1279, -11009, 2063
29324, -1432, 114, -212, 1.01, -0.02, 0.05, -14335, 255, -8705, 2097
32239, -1228, 122, -173, 1.01, -0.04, 0.10, -15103, 1535, -7681, 2131
17399, -1425, 146, -198, 1.01, -0.04, 0.10, -14591, 511, -5633, 2164
11224, -1553, 140, -217, 1.01, -0.02, 0.05, -15615, 1535, -5889, 2197
15611, -1442, 179, -195, 1.01, -0.03, 0.08, -14591, 767, -4097, 2231
15520, -844, 135, -129, 1.01, -0.04, 0.10, -13823, 1791, -2817, 2264
27488, -1234, 131, -200, 1.00, -0.07, 0.16, -14079, 767, -3329, 2298
17425, -1402, 128, -190, 1.01, -0.02, 0.05, -16383, 2303, -1537, 2331
22621, -1311, 134, -197, 1.01, -0.05, 0.11, -14335, 2047, -1, 2364
130, -891, 142, -125, 1.02, -0.00, 0.02, -14591, 1279, 768, 2397
230, -1235, 139, -194, 1.01, -0.02, 0.07, -14847, 1279, 1280, 2429
41162, -891, 132, -177, 1.01, -0.02, 0.06, -15871, 1535, 2304, 2461
38913, -1083, 147, -191, 1.02, -0.00, 0.02, -13823, 2303, 5120, 2494
37885, -1265, 126, -175, 1.01, -0.02, 0.04, -14079, 1279, 5888, 2527
37315, -592, 141, -86, 1.00, -0.07, 0.17, -14591, 1535, 5632, 2560
40283, -955, 134, -136, 1.02, 0.00, 0.00, -14847, 2303, 6656, 2592
34518, -1328, 131, -176, 1.01, -0.04, 0.07, -15359, 3071, 8192, 2624
39343, -1328, 110, -151, 1.00, -0.07, 0.14, -14591, 2047, 9984, 2658
40660, -738, 129, -115, 1.00, -0.06, 0.12, -14335, 2559, 9216, 2691
41256, -1169, 177, -195, 1.00, -0.07, 0.17, -14591, 3583, 12288, 2724
39370, -1672, 151, -197, 1.02, 0.01, -0.02, -15103, 3583, 13056, 2757
41968, -1848, 127, -221, 1.00, -0.04, 0.10, -16127, 4095, 14080, 2791
42324, -746, 129, -145, 1.01, -0.03, 0.08, -14591, 5375, 16384, 2825
43690, -1496, 128, -205, 1.00, -0.06, 0.12, -15359, 4351, 17920, 2858
43674, -947, 122, -139, 1.00, -0.04, 0.10, -16895, 5887, 17920, 2892
7730, -970, 133, -144, 1.02, -0.02, 0.05, -14079, 6399, 19200, 2925
42896, -1443, 148, -211, 1.02, 0.00, 0.01, -14335, 6399, 20480, 2958
43123, -1173, 131, -177, 1.01, -0.04, 0.08, -15103, 6655, 20992, 2991
44213, -1501, 144, -223, 1.00, -0.06, 0.14, -16639, 7935, 21248, 3025
2048, -1272, 121, -184, 1.00, -0.07, 0.14, -15103, 7935, 23808, 3059
45164, -1577, 131, -185, 1.00, -0.04, 0.12, -15359, 8191, 24576, 3092
46051, -1174, 128, -208, 1.02, 0.01, -0.01, -15103, 8703, 25856, 3125
47354, -838, 137, -149, 1.00, -0.05, 0.11, -15615, 9983, 27136, 3159
47690, -1168, 128, -135, 1.02, 0.00, 0.00, -15103, 9471, 27648, 3192
48416, -1145, 138, -128, 1.00, -0.07, 0.16, -14847, 11007, 28416, 3226
47793, -1490, 127, -191, 1.01, -0.02, 0.07, -17151, 12543, 31744, 3260
46997, -930, 129, -156, 1.00, -0.08, 0.18, -14591, 12031, 31232, 3294
45939, -1459, 144, -198, 1.02, 0.00, 0.02, -15871, 13055, 31744, 3327
45689, -1165, 146, -137, 1.00, -0.04, 0.11, -15359, 13567, -32768, 3361
44808, -1368, 141, -193, 1.02, 0.01, -0.02, -15615, 14335, -30976, 3395
43813, -1541, 160, -184, 1.01, -0.01, 0.05, -15359, 14847, -30720, 3429
