22530,-7168,21503
22274,-6144,23295
22274,-6144,23295
23042,-7936,22271
21506,-6400,21503
21506,-6400,21503
22786,-6656,21759
22786,-6656,21759
22274,-7424,21759
22274,-7424,21759
22786,-7680,21247
24066,-4608,21503
24066,-4608,21503
22018,-6144,21759
22018,-6144,21759
22786,-7936,22015
22786,-7936,22015
22530,-6912,22271
22530,-6912,22271
22530,-6912,22271
23042,-6656,21759
23042,-6656,21759
22274,-7424,21247
22274,-7424,21247
22530,-6656,21247
22530,-6656,21247
22530,-6656,21247
22018,-5632,22527
22018,-5632,22527
21762,-7168,21247
21762,-7168,21247
22018,-6656,22015
22018,-6656,22015
23042,-7424,21503
22018,-7168,21759
22018,-7168,21759
23298,-7680,22015
23298,-7680,22015
22530,-7424,22271
22530,-7424,22271
22274,-7424,21759
22786,-7680,22527
22786,-7680,22527
23042,-6400,21759
23042,-6400,21759
23298,-6912,21759
23298,-6912,21759
22274,-6912,21503
23042,-6400,21759
23042,-6400,21759
23810,-7424,21503
23810,-7424,21503
23042,-7168,20991
23042,-7168,20991
22786,-6656,21759
23042,-6912,21503
23042,-6912,21503
23042,-6912,22271
23042,-6912,22271
23554,-6912,21759
23554,-6912,21759
22786,-6912,21503
23042,-7168,21247
23042,-7168,21247
23042,-6912,20991
23042,-6912,20991
22274,-5888,22015
22274,-5888,22015
22274,-5888,21503
22274,-5888,21503
22274,-5888,21503
22786,-5888,21759
22786,-5888,21759
22530,-5888,21503
22530,-5888,21503
21506,-6400,21503
21506,-6400,21503
21506,-6400,21503
22530,-6144,22527
22530,-6144,22527
22530,-8192,22015
22530,-8192,22015
20482,-7936,22527
20482,-7936,22527
20738,-9984,22015
19458,-9216,23295
19458,-9216,23295
17666,-13824,24831
17666,-13824,24831
16898,-19456,25855
16898,-19456,25855
14082,-23808,27903
10242,-31744,26623
10242,-31744,26623
5122,23040,25343
5122,23040,25343
-1535,13312,17407
-1535,13312,17407
-13055,5376,5375
-31231,8448,-3074
-31231,8448,-3074
5633,14336,7167
5633,14336,7167
27392,-4865,-23809
27392,-4865,-23809
-24321,15103,5376
-2,-23554,22016
-2,-23554,22016
-13314,20478,29952
-13314,20478,29952
26623,30462,23040
26623,30462,23040
23808,-6402,3328
15873,28159,-18433
15873,28159,-18433
-15359,-6145,-30721
-15359,-6145,-30721
5634,15104,26111
5634,15104,26111
16386,28416,20479
22274,-25856,18431
22274,-25856,18431
23042,-20224,17663
23042,-20224,17663
24066,-15360,17407
24066,-15360,17407
24322,-13056,18431
24322,-9728,17663
25602,-9728,17663
23810,-9216,19199
23810,-9216,19199
23298,-8448,19199
23298,-8448,19199
23810,-7424,19711
23810,-7424,19711
23810,-7424,19711
22786,-6656,20735
22786,-6656,20735
23042,-6656,20735
23042,-6656,20735
23810,-6912,20991
23810,-6912,20991
22530,-7424,20991
22274,-6144,22015
22274,-6144,22015
22274,-6656,20991
22274,-6656,20991
22018,-6912,21759
22018,-6912,21759
23298,-6656,21503
22530,-6912,22527
22530,-6912,22527
22274,-7936,23295
22274,-7936,23295
20738,-8448,20991
20738,-8448,20991
20738,-8448,20223
22786,-7424,20479
22786,-7424,20479
20994,-6912,20479
20994,-6912,20479
22274,-6912,21503
22274,-6912,21503
22530,-6656,20991
22018,-6144,21247
22018,-6144,21247
22530,-7680,20991
22530,-7680,20991
22786,-6656,20735
22786,-6656,20735
22274,-6912,20479
22530,-6656,21247
22530,-6656,21247
23298,-6912,20735
23298,-6912,20735
23042,-7424,20991
23042,-7424,20991
21506,-6144,20735
22530,-6912,20991
22530,-6912,20991
21762,-6656,22527
21762,-6656,22527
22786,-6400,21503
22786,-6400,21503
23042,-6656,22015
23042,-6656,22015
23042,-6656,22015
22530,-6144,21247
22530,-6144,21247
21506,-6656,21247
21506,-6656,21247
22274,-6400,21247
22274,-6400,21247
22274,-6400,21247
22786,-5376,21503
22786,-5376,21503
21250,-7168,21247
21250,-7168,21247
22530,-7168,20991
22530,-7168,20991
22018,-6912,20735
22274,-6144,22015
22274,-6144,22015
21762,-7168,21503
21762,-7168,21503
23298,-7680,22015
23298,-7680,22015
22274,-6912,22015
22530,-7424,21247
22530,-7424,21247
22274,-7168,21247
22274,-7168,21247
23042,-6400,22271
23042,-6400,22271
23554,-7680,22015
22786,-6144,22015
22786,-6144,22015
22274,-6144,21759
22274,-6144,21759
21506,-6656,21759
21506,-6656,21759
23042,-7424,21503
21762,-6144,22015
21762,-6144,22015
22530,-6656,21503
22530,-6656,21503
23042,-6656,21759
23042,-6656,21759
22786,-7680,21247
23042,-5632,22271
23042,-5632,22271
23042,-6912,22527
23042,-6912,22527
22786,-7168,22015
22786,-7168,22015
23298,-7936,21759
22530,-7424,22271
22530,-7424,22271
23042,-6656,21759
23042,-6656,21759
22018,-7424,21759
22018,-7424,21759
22018,-6912,22271
22018,-6912,22271
22018,-6912,22271
22018,-6656,22271
22018,-6656,22271
23042,-8192,21759
23042,-8192,21759
21762,-7168,22271
21762,-7168,22271
21762,-7168,22271
23554,-6400,22783
23554,-6400,22783
22274,-7424,21503
22274,-7424,21503
22530,-7680,21759
22530,-7680,21759
22018,-8192,22271
22786,-7424,22527
22786,-7424,22527
22274,-7936,22015
22274,-7936,22015
22018,-8192,22015
22018,-8192,22015
22530,-8704,21759
21762,-8448,21503
21762,-8448,21503
20994,-9728,21503
20994,-9728,21503
22018,-10752,21247
22018,-10752,21247
20994,-12032,20991
19202,-13312,20991
19202,-13312,20991
19458,-15616,19711
19458,-15616,19711
16898,-20224,17663
16898,-20224,17663
12802,-23040,13823
7170,-26880,9471
7170,-26880,9471
-5375,30720,3071
-5375,30720,3071
-28927,24064,-7170
-28927,24064,-7170
-2304,22272,-14338
15104,22016,-3330
15104,22016,-3330
-26113,13056,26111
-26113,13056,26111
-30721,-6145,-4609
-30721,-6145,-4609
12288,-17921,-3841
26625,4096,-19969
26625,4096,-19969
27394,29440,30207
27394,29440,30207
-28926,-6912,24063
-28926,-6912,24063
-25854,2305,-4609
-25854,2305,-4609
-25854,2305,-4609
-22014,3328,22015
-22014,3328,22015
-31230,29184,-5378
-31230,29184,-5378
32002,-14592,-2562
32002,-14592,-2562
32002,-14592,-2562
15362,11777,8191
15362,11777,8191
17666,9729,22783
17666,9729,22783
25090,257,23295
25090,257,23295
32002,-4096,11007
31234,5889,-5634
31234,5889,-5634
24066,24833,-1026
24066,24833,-1026
9474,3841,17151
9474,3841,17151
-19711,-7936,29694
2048,29185,-22531
2048,29185,-22531
8188,-14077,-8451
8188,-14077,-8451
-11781,28164,19459
-11781,28164,19459
7168,12545,8195
-255,-28928,-18176
-255,-28928,-18176
22786,-19968,-18433
22786,-19968,-18433
24322,-12288,27135
24322,-12288,27135
23554,-9216,21247
24066,-8448,20735
24066,-8448,20735
21762,-7680,20479
21762,-7680,20479
22786,-6656,20735
22786,-6656,20735
21506,-6400,21503
22530,-5632,22015
22530,-5632,22015
21762,-7424,21759
21762,-7424,21759
21762,-7680,21759
21762,-7680,21759
22530,-7936,20735
21506,-5632,20991
21506,-5632,20991
22018,-7680,22015
22018,-7680,22015
20994,-7168,21503
20994,-7168,21503
21506,-7424,20991
21506,-7424,20991
21506,-7424,20991
22530,-6144,21503
22530,-6144,21503
23042,-7168,20991
23042,-7168,20991
22274,-7168,20991
22274,-7168,20991
22274,-7168,20991
23298,-6656,21503
23298,-6656,21503
21762,-6656,21247
21762,-6656,21247
22274,-6144,21759
22274,-6144,21759
21762,-6400,22271
22018,-6144,21503
22018,-6144,21503
23810,-7680,21759
23810,-7680,21759
22274,-6144,21503
22274,-6144,21503
22018,-7680,21247
22018,-6656,20735
22018,-6656,20735
22018,-7168,20991
22018,-7168,20991
22530,-7168,21759
22530,-7168,21759
21762,-7168,20735
22274,-6400,21503
22274,-6400,21503
22018,-6912,20479
22018,-6912,20479
21762,-7168,21247
21762,-7168,21247
22018,-6656,20991
22018,-6656,20991
22018,-6656,20991
22530,-7168,21247
22530,-7168,21247
22018,-6400,20735
22018,-6400,20735
22786,-7168,20991
23298,-6144,21247
23298,-6144,21247
22274,-6400,21247
22274,-6400,21247
23298,-7424,20735
23298,-7424,20735
22018,-7168,21247
22786,-4352,22015
22786,-4352,22015
22530,-7168,21759
22530,-7168,21759
22274,-6400,22271
22274,-6400,22271
22786,-8192,22015
22786,-8192,22015
22786,-8192,22015
23042,-5888,21503
23042,-5888,21503
22530,-6656,21503
22530,-6656,21503
22274,-6912,21759
22274,-6912,21759
22274,-6912,21759
22786,-6912,22015
22786,-6912,22015
22530,-6400,21503
22530,-6400,21503
23042,-7168,21247
23042,-7168,21247
22274,-4608,20991
22274,-5888,22015
22274,-5888,22015
22018,-6912,22271
22018,-6912,22271
22530,-7168,20991
22530,-7168,20991
22786,-6656,22015
21762,-6400,20735
21762,-6400,20735
23042,-6656,21503
23042,-6656,21503
22786,-6656,21247
22786,-6656,21247
23042,-7936,21759
22530,-6400,21759
22530,-6400,21759
21762,-6656,21247
21762,-6656,21247
22018,-6912,22271
22018,-6912,22271
22530,-6656,21503
24066,-7936,21503
24066,-7936,21503
22786,-6656,21247
22786,-6656,21247
22018,-7168,20735
22018,-7168,20735
22786,-7168,22271
22018,-6656,21503
22018,-6656,21503
23298,-7680,21759
23298,-7680,21759
22530,-7168,21503
22530,-7168,21503
22786,-6400,20735
22274,-4096,21759
22274,-4096,21759
22274,-6400,21247
22274,-6400,21247
23298,-6912,21247
23298,-6912,21247
21506,-6912,22015
21506,-6912,22015
