2727,4461
2761,4539
2794,4638
2827,4737
2860,4836
2893,4935
2927,4899
2960,4800
2993,4701
3026,4602
3059,4503
3092,4494
3126,4596
3159,4695
3192,4794
3225,4893
3258,4944
3291,4845
3325,4743
3358,4644
3391,4545
3424,4452
3457,4551
3490,4650
3524,4752
3557,4851
3590,4950
3623,4887
3656,4788
3689,4689
3723,4587
3756,4488
3789,4509
3822,4608
3855,4707
3889,4809
3922,4908
3955,4929
3988,4830
4021,4731
4054,4632
4088,4530
4121,4467
4148,4566
4115,4665
4082,4764
4049,4863
4015,4965
3982,4872
3950,4776
3918,4680
3885,4581
3852,4482
3818,4518
3785,4617
3752,4716
3719,4815
3686,4914
3653,4923
3619,4821
3586,4722
3553,4623
3520,4524
3487,4473
3454,4572
3421,4671
3388,4770
3355,4869
3322,4968
3289,4869
3255,4767
3222,4668
3189,4569
3156,4470
3123,4527
3090,4626
3056,4728
3023,4827
2990,4926
2957,4911
2924,4812
2891,4713
2857,4611
2824,4512
2791,4485
2758,4584
2725,4683
2692,4782
2658,4884
2625,4953
2592,4854
2559,4755
2526,4656
2493,4557
2459,4455
2426,4542
2393,4641
2360,4740
2327,4839
2293,4941
2260,4896
2227,4797
2194,4698
2161,4599
2128,4500
2094,4500
2061,4599
2028,4698
1995,4797
1962,4896
1969,4941
2003,4839
2036,4740
2069,4641
2102,4542
2135,4455
2168,4554
2202,4656
2235,4755
2268,4854
2301,4953
2334,4884
2367,4785
2401,4683
2434,4584
2467,4485
2500,4512
2533,4611
2567,4713
2600,4812
2633,4911
2666,4926
2699,4827
2732,4728
2766,4626
2799,4527
2832,4470
2865,4569
2897,4665
2930,4764
2964,4866
2997,4965
3030,4872
3063,4773
3095,4677
3128,4578
3162,4476
3195,4521
3228,4620
3261,4719
3294,4818
3326,4914
3360,4920
3392,4824
3425,4725
3458,4626
3491,4527
3524,4470
3558,4572
3591,4671
3624,4770
3657,4869
3689,4965
3722,4872
3756,4770
3789,4671
3822,4572
3855,4473
3888,4524
3921,4623
3955,4725
3988,4824
4021,4923
4054,4914
4087,4815
4121,4713
4148,4614
4115,4515
4082,4482
4049,4581
4016,4680
3982,4782
3949,4881
3916,4956
3883,4857
3850,4758
3817,4659
3783,4557
3750,4458
3717,4539
3684,4638
3651,4737
3618,4836
3584,4938
3551,4899
3518,4800
3485,4701
3452,4602
3418,4500
3385,4497
3352,4596
3319,4695
3286,4794
3253,4893
3219,4941
3186,4842
3153,4743
3120,4644
3087,4545
3054,4452
3020,4554
2987,4653
2954,4752
2921,4851
2888,4950
2855,4887
2821,4785
2788,4686
2755,4587
2722,4488
2689,4509
2656,4608
2622,4710
2589,4809
2556,4908
2523,4929
2490,4830
2456,4728
2423,4629
2392,4536
2359,4461
2326,4560
2293,4659
2259,4761
2226,4860
2193,4959
2160,4878
2128,4782
2096,4686
2063,4587
2029,4485
1996,4512
1963,4611
1968,4710
2001,4809
2035,4911
2068,4926
2101,4827
2134,4728
2167,4629
2200,4530
2234,4470
2267,4569
2300,4668
2333,4767
2366,4866
2399,4965
2433,4869
2466,4770
2499,4671
2532,4572
2565,4473
2598,4524
2632,4626
2665,4725
2698,4824
2731,4923
2764,4914
2798,4812
2831,4713
2864,4614
2897,4515
2930,4482
2963,4581
2997,4683
3030,4782
3063,4881
3096,4956
3128,4860
3161,4761
